Season,Lg,Tm,,,,,
1969-70,NBA,2nd,Kareem Abdul-Jabbar C,John Havlicek F,Gus Johnson F,Lou Hudson G,Oscar Robertson G
1969-70,ABA,1st,Mel Daniels C,Rick Barry F,Spencer Haywood F,Larry Jones G,Bob Verga G
1969-70,ABA,2nd,Red Robbins C,Bob Netolicky F,Roger Brown F,Donnie Freeman G,Louie Dampier G
1968-69,NBA,1st,Wes Unseld C,Elgin Baylor F,Billy Cunningham F,Oscar Robertson G,Earl Monroe G
1968-69,NBA,2nd,Willis Reed C,Dave DeBusschere F,John Havlicek F,Hal Greer G,Jerry West G
1968-69,ABA,1st,Mel Daniels C,Connie Hawkins F,Rick Barry F,Jimmy Jones G,Larry Jones G
1968-69,ABA,2nd,Red Robbins C,Doug Moe F,John Beasley F,Louie Dampier G,Donnie Freeman G
1967-68,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Jerry Lucas F,Oscar Robertson G,Dave Bing G
1967-68,NBA,2nd,Bill Russell C,Willis Reed F,John Havlicek F,Hal Greer G,Jerry West G
1967-68,ABA,1st,Mel Daniels C,Doug Moe F,Connie Hawkins F,Larry Jones G,Charles Williams G
1967-68,ABA,2nd,John Beasley C,Roger Brown F,Cincinnatus Powell F,Larry Brown G,Louie Dampier G
1966-67,NBA,1st,Wilt Chamberlain C,Rick Barry F,Elgin Baylor F,Oscar Robertson G,Jerry West G
1966-67,NBA,2nd,Bill Russell C,Willis Reed F,Jerry Lucas F,Hal Greer G,Sam Jones G
1965-66,NBA,1st,Wilt Chamberlain C,Rick Barry F,Jerry Lucas F,Oscar Robertson G,Jerry West G
1965-66,NBA,2nd,Bill Russell C,Gus Johnson F,John Havlicek F,Hal Greer G,Sam Jones G
1964-65,NBA,1st,Bill Russell C,Elgin Baylor F,Jerry Lucas F,Oscar Robertson G,Jerry West G
1964-65,NBA,2nd,Wilt Chamberlain C,Bob Pettit F,Gus Johnson F,Sam Jones G,Hal Greer G
1963-64,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G
1963-64,NBA,2nd,Bill Russell C,Tom Heinsohn F,Jerry Lucas F,Hal Greer G,John Havlicek G
1962-63,NBA,1st,Bill Russell C,Elgin Baylor F,Bob Pettit F,Jerry West G,Oscar Robertson G
